module_id,technology_id,manufacturer,model,technology_label,cec_celltype,pmax_w,vmp_v,imp_a,voc_v,isc_a,alpha_isc_pct_c,beta_voc_pct_c,gamma_pmax_pct_c,cells_in_series,cells_in_series_basis,module_area_m2,module_efficiency_pct,noct_c,thermal_construction,first_year_retention_pct,annual_warranty_degradation_pct_year,warranty_years,quote_usd_w,source_url,evidence_status,source_note,iec61853_matrix_file,spectral_evidence_level,thermal_u0_w_m2k,thermal_u1_w_s_m3k,bom_evidence_status,project_segment,spectral_response_file,spectral_irradiance_source,iam_curve_file,thermal_evidence_source,electrical_model_validation_reference,bom_source_reference,record_kind,evidence_tier,source_type,data_verified_date,revision_date,length_m,width_m,weight_kg,glass_structure,glass_thickness_mm,encapsulant,backsheet,interconnection,junction_box,bypass_diodes,frame,certifications,availability_status,verification_note,bifaciality_factor,bifaciality_tolerance_pct_points,bifaciality_source
MOD_PERC_LONGI_LR5_72HPH_550M,TECH_01,LONGi,LR5-72HPH-550M,Mono PERC,monoSi,550.0,41.95,13.12,49.8,13.98,0.05,-0.265,-0.34,72,144 half-cells; 72-series electrical topology inferred for SDM,2.583252,21.3,45.0,glass_polymer_open_rack,98.0,0.55,25,,https://static.longi.com/L_Gi_LE_PM_T_PMD_059_F119_LR_5_72_HPH_540_560_M_35_35_and_15_G2_V15_CHT_9ec1618dcc.pdf,manufacturer_datasheet,550 W STC row; datasheet states first-year degradation <2% and years 2-25 0.55%/yr. Quote intentionally blank.,,technology_class_proxy,,,not_used_in_decision_unless_calibrated,all,,,,,,,commercial_sku,C_product_manufacturer,manufacturer_documentation,2026-09-11,,2.278,1.134,27.5,single_glass,3.2,unknown,unknown,unknown,split IP68,3,anodized aluminum alloy,IEC/UL family datasheet,not_assumed,Electrical and mechanical values cross-checked against official LONGi LR5-72HPH 540-560M datasheet.,0.0,0.0,
MOD_TOPCON_JINKO_JKM575N_72HL4_V,TECH_02,JinkoSolar,JKM575N-72HL4-V,TOPCon,monoSi,575.0,42.22,13.62,50.88,14.39,0.046,-0.25,-0.3,72,144 half-cells; 72-series electrical topology inferred for SDM,2.583252,22.3,45.0,glass_polymer_open_rack,99.0,0.4,30,,https://www.jinkosolar.com/uploads/JKM555-575N-72HL4-%28V%29-F1-EN%20%28IEC%202016%29.pdf,manufacturer_datasheet,575 W STC row. Datasheet/warranty family states 1% first-year and 0.40%/yr thereafter. Quote intentionally blank.,,technology_class_proxy,,,not_used_in_decision_unless_calibrated,all,,,,,,,commercial_sku,C_product_manufacturer,manufacturer_documentation,2026-09-11,,2.278,1.134,28.0,single_glass,3.2,unknown,unknown,unknown,IP68,unknown,anodized aluminum alloy,manufacturer family datasheet,not_assumed,Electrical and mechanical values cross-checked against official Jinko JKM555-575N-72HL4-(V) datasheet.,0.0,0.0,
MOD_HJT_REC_ALPHA_PURE_RX_470,TECH_03,REC,Alpha Pure-RX 470,HJT,monoSi,470.0,55.4,8.49,65.7,8.95,0.04,-0.24,-0.24,88,datasheet lists 88 half-cut HJT cells; electrical voltage supports 88-series SDM interpretation,2.08,22.6,44.0,glass_polymer_open_rack,98.0,0.25,25,,https://www.recgroup.com/sites/default/files/2025-11/DS_Alpha_Pure-RX_IEC_EN_AUCEC_101125.pdf,manufacturer_datasheet,470 W STC row; 98% Year 1 and 0.25% annual degradation warranty. Quote intentionally blank.,,technology_class_proxy,,,not_used_in_decision_unless_calibrated,residential,,,,,,,commercial_sku,C_product_manufacturer,manufacturer_documentation,2026-09-11,,1.728,1.205,22.7,single_glass,3.2,unknown,high-resistance polymer,unknown,4-part IP68,4,anodized aluminum,manufacturer product datasheet,not_assumed,"Electrical, geometry and BOM-visible fields cross-checked against official REC Alpha Pure-RX product datasheet.",0.0,0.0,
MOD_CDTE_FIRST_SOLAR_SERIES7_TR1_530,TECH_06,First Solar,Series 7 TR1 530,CdTe Thin Film,cdte,530.0,186.9,2.84,226.7,3.05,0.04,-0.28,-0.32,268,"datasheet states CdTe thin-film semiconductor, up to 268 cells; seeded as 268 for this model record and must be verified before bankability use",2.8,19.0,45.0,glass_glass_open_rack,98.0,0.3,30,,https://www.firstsolar.com/-/media/First-Solar/Technical-Documents/Series-7/Series-7-TR1-Datasheet.ashx,manufacturer_datasheet,530 W STC row; datasheet states 0.30%/yr warranted degradation and >89% after 30 years. Quote intentionally blank.,,technology_class_proxy,,,not_used_in_decision_unless_calibrated,utility,,,,,,,commercial_sku,C_product_manufacturer,manufacturer_documentation,2026-09-11,,2.3,1.216,39.7,glass-glass,,laminate material with edge seal,none,unknown,IP68,,galvanized steel back rail,IEC 61215:2021; IEC 61730-1:2016; IEC 61701; IEC 62716,not_assumed,"Electrical, mechanical and BOM-visible fields cross-checked against official First Solar Series 7 TR1 datasheet/user guide.",0.0,0.0,
MOD_HPBC_LONGI_LR7_72HVH_670M,TECH_04,LONGi,LR7-72HVH-670M,HPBC 2.0 / Back Contact,monoSi,670.0,44.96,14.91,54.3,15.6,0.05,-0.2,-0.26,72,144 half-cells; 72-series electrical topology used for SDM,2.701188,24.8,45.0,glass_polymer_open_rack,99.0,0.35,30,,https://static.longi.com/LR_7_72_HVH_640_670_M_30_30_and_15_Scientist_BGV_02_20250313_EN_1e80b0045b.pdf,manufacturer_datasheet,670 W STC row; 24.8% efficiency; -0.260%/C Pmax coefficient; 45+/-2 C NOCT; <1% first-year and 0.35%/yr years 2-30 warranty. Quote intentionally blank.,,technology_class_proxy,,,not_used_in_decision_unless_calibrated,"commercial,residential",,,,,,,commercial_sku,C_product_manufacturer,manufacturer_documentation,2026-09-11,2025-03-13,2.382,1.134,28.5,single_glass,3.2,unknown,unknown,back-contact; exact module interconnection not populated,IP68,3.0,anodized aluminum alloy,IEC 61215; IEC 61730 family datasheet,not_assumed,"Electrical, thermal, mechanical and warranty values cross-checked against official LONGi Hi-MO X10 Scientist datasheet.",0.0,0.0,
MOD_IBC_MAXEON_SPR_MAX7_445_PT,TECH_04,Maxeon,SPR-MAX7-445-PT,IBC / Back Contact,monoSi,445.0,71.4,6.23,83.0,6.6,0.058,-0.236,-0.27,112,112 monocrystalline Maxeon Gen 7 cells per official datasheet,1.849545,24.1,,glass_polymer_open_rack,98.0,0.25,40,,https://sunpower.maxeon.com/int/sites/default/files/2024-03/sp_max7_112c_PT_435-445_res_dc_40years_warranty_ds_en_a4_551184A.v4.pdf,manufacturer_datasheet,"445 W STC row; 24.1% efficiency; -0.27%/C Pmax coefficient; 98% year-1 minimum; 0.25% max annual degradation. Official product sheet does not state NOCT, so no NOCT is invented.",,technology_class_proxy,,,not_used_in_decision_unless_calibrated,"residential,commercial",,,,,,,commercial_sku,C_product_manufacturer,manufacturer_documentation,2026-09-11,2024-01,1.787,1.035,20.7,single_glass,3.2,unknown,white backsheet,Maxeon Gen 7 back-contact architecture,IP68 Stäubli MC4,2.0,Class 1 black anodized,IEC 61215; IEC 61730; IEC 62716; IEC 61701; IEC 62804,not_assumed,Official Maxeon 7 datasheet used. NOCT intentionally left blank because it is not stated in the product datasheet.,0.0,0.0,
MOD_TOPCON_CANADIAN_CS62_66TB_620H,TECH_28,Canadian Solar,CS6.2-66TB-620H,TOPCon Bifacial,monoSi,620.0,41.2,15.06,48.4,16.08,0.045,-0.25,-0.29,66,132 half-cells arranged as 66 electrical series positions for SDM,2.701188,23.0,41.0,glass_glass_open_rack,99.0,0.4,30,,https://www.canadiansolar.com/wp-content/uploads/sites/3/2026/04/CS-Datasheet-TOPBiHiKu6_CS6.2-66TB-H_v1.1_F68_L1B_TX.pdf,manufacturer_datasheet,620 W STC row; 23.0% efficiency; -0.29%/C Pmax; 41+/-3 C NMOT; 80% nominal power bifaciality. Rear gain is not added without rear irradiance geometry.,,technology_class_proxy,,,not_used_in_decision_unless_calibrated,"utility,commercial",,,,,,,commercial_sku,C_product_manufacturer,manufacturer_documentation,2026-09-11,2026-04,2.382,1.134,33.4,glass-glass,2.0,unknown,glass,132 half-cell TOPCon,IP68,3.0,anodized aluminum alloy,IEC 61215; IEC 61730; UL 61730; IEC 61701; IEC 62716,not_assumed,Official Canadian Solar TOPBiHiKu6 datasheet plus California Energy Commission equipment-list cross-check for model/nameplate.,0.8,5.0,manufacturer datasheet: Power bifaciality 80% (tolerance ±5 percentage points)
MOD_HJT_CANADIAN_CS62_66HB_635H,TECH_29,Canadian Solar,CS6.2-66HB-635H,HJT Bifacial,monoSi,635.0,42.7,14.88,50.3,15.92,0.044,-0.23,-0.255,66,132 half-cells arranged as 66 electrical series positions for SDM,2.701188,23.5,41.0,glass_glass_open_rack,99.0,0.35,30,,https://www.canadiansolar.com/wp-content/uploads/sites/3/2026/05/CS-Datasheet-Low-Carbon_HiHero-HJT_CS6.2-66HB-H_v1.4C1_F68_L1_TX90.pdf,manufacturer_datasheet,635 W STC row; 23.5% efficiency; -0.255%/C Pmax; 41+/-3 C NMOT; 85% datasheet bifaciality. Rear gain is not added without rear irradiance geometry.,,technology_class_proxy,,,not_used_in_decision_unless_calibrated,"utility,commercial",,,,,,,commercial_sku,C_product_manufacturer,manufacturer_documentation,2026-09-11,2026-04,2.382,1.134,33.4,glass-glass,2.0,unknown,glass,132 half-cell HJT,IP68,3.0,anodized aluminum alloy,IEC 61215; IEC 61730; UL 61730; IEC 61701; IEC 62716,not_assumed,"Official Canadian Solar HiHero HJT datasheet used for electrical, thermal, mechanical and warranty fields.",0.85,5.0,manufacturer datasheet: power bifaciality 85% (tolerance ±5 percentage points)
MOD_TOPCON_JASOLAR_JAM72D42_640_LB,TECH_28,JA Solar,JAM72D42-640/LB,TOPCon Bifacial,monoSi,640.0,44.29,14.45,52.87,15.31,0.045,-0.25,-0.29,72,144 half-cells; 72 electrical series positions used for SDM,2.79531,22.9,45.0,glass_glass_open_rack,99.0,0.4,30,,https://www.jasolar.com/uploadfile/fujian/2024/0617/d915634529ae62e.pdf,manufacturer_datasheet,640 W STC row; 22.9% efficiency; 45+/-2 C NOCT; 80%+/-10% bifaciality; 1% first-year and 0.4% annual warranty degradation. Rear gain is not assumed.,,technology_class_proxy,,,not_used_in_decision_unless_calibrated,"utility,commercial",,,,,,,commercial_sku,C_product_manufacturer,manufacturer_documentation,2026-09-11,2024-06-12,2.465,1.134,34.6,glass-glass,2.0,unknown,glass,144 half-cell n-type,IP68,3.0,anodized aluminum alloy,IEC 61215; IEC 61730,not_assumed,Official JA Solar JAM72D42/LB datasheet used; bifacial BNPI values are not substituted for front-side STC values.,0.8,10.0,manufacturer datasheet: bifaciality 80% ±10%
MOD_TOPCON_TRINA_TSM_NEG21C20_700,TECH_28,Trina Solar,TSM-NEG21C.20-700,TOPCon Bifacial,monoSi,700.0,40.5,17.29,48.6,18.32,0.04,-0.24,-0.29,66,132 half-cells; 66 electrical series positions used for SDM,3.106352,22.5,43.0,glass_glass_open_rack,99.0,0.4,30,,https://www.trinasolar.com/sites/default/files/Datasheet_210_NEG21C.20.pdf,manufacturer_datasheet,"700 W STC row from official Vertex N series datasheet; -0.29%/C Pmax; 43+/-2 C NOCT. Current product family evolves by market, so exact procurement revision must be reverified at quote time.",,technology_class_proxy,,,not_used_in_decision_unless_calibrated,utility,,,,,,,commercial_sku,C_product_manufacturer,manufacturer_documentation,2026-09-11,2024,2.384,1.303,38.3,glass-glass,2.0,POE/EVA,glass,132 half-cell n-type i-TOPCon,IP68,,33 mm anodized aluminum alloy,IEC family product documentation,not_assumed,Official Trina Vertex N datasheet used. Procurement workflow must revalidate regional/current revision because power classes change over time.,0.8,5.0,manufacturer datasheet: power bifaciality 80% ±5%
