time_utc,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS10M,PRECTOTCORR,PS
2020-01-01 00:00:00+00:00,0.0,0.0,0.0,12.26,40.03,3.35,0.0,94.47
2020-01-01 01:00:00+00:00,0.0,0.0,0.0,11.39,42.52,3.42,0.0,94.49
2020-01-01 02:00:00+00:00,0.0,0.0,0.0,10.64,45.2,3.59,0.0,94.56
2020-01-01 03:00:00+00:00,0.0,0.0,0.0,10.06,48.0,3.77,0.0,94.64
2020-01-01 04:00:00+00:00,115.93,197.49,83.59,10.93,46.61,4.68,0.0,94.72
2020-01-01 05:00:00+00:00,294.42,443.0,139.97,13.38,40.77,4.02,0.0,94.77
2020-01-01 06:00:00+00:00,476.58,577.96,183.82,16.44,33.88,3.62,0.0,94.78
2020-01-01 07:00:00+00:00,600.7,680.16,233.6,18.64,29.54,2.79,0.0,94.73
2020-01-01 08:00:00+00:00,558.85,186.17,368.91,20.07,27.45,1.71,0.0,94.63
2020-01-01 09:00:00+00:00,572.17,203.1,384.63,21.27,26.84,1.07,0.0,94.52
2020-01-01 10:00:00+00:00,486.02,242.32,323.36,22.21,27.8,1.43,0.0,94.45
2020-01-01 11:00:00+00:00,371.42,157.49,275.79,22.81,29.51,1.65,0.0,94.41
2020-01-01 12:00:00+00:00,218.3,77.24,191.02,22.85,31.81,1.82,0.0,94.39
2020-01-01 13:00:00+00:00,78.62,16.87,72.76,21.08,36.65,2.02,0.0,94.4
2020-01-01 14:00:00+00:00,0.0,0.0,0.0,19.09,40.38,3.41,0.0,94.44
2020-01-01 15:00:00+00:00,0.0,0.0,0.0,18.31,40.92,4.54,0.0,94.51
2020-01-01 16:00:00+00:00,0.0,0.0,0.0,17.0,43.46,4.43,0.0,94.56
2020-01-01 17:00:00+00:00,0.0,0.0,0.0,16.33,44.63,4.43,0.0,94.58
2020-01-01 18:00:00+00:00,0.0,0.0,0.0,15.74,45.76,4.41,0.0,94.6
2020-01-01 19:00:00+00:00,0.0,0.0,0.0,15.26,46.48,4.51,0.0,94.57
2020-01-01 20:00:00+00:00,0.0,0.0,0.0,14.64,47.54,4.34,0.0,94.53
2020-01-01 21:00:00+00:00,0.0,0.0,0.0,13.94,48.69,4.03,0.0,94.5
2020-01-01 22:00:00+00:00,0.0,0.0,0.0,13.07,50.52,3.8,0.0,94.5
2020-01-01 23:00:00+00:00,0.0,0.0,0.0,12.47,51.82,3.97,0.0,94.5
2020-01-02 00:00:00+00:00,0.0,0.0,0.0,12.01,53.09,4.13,0.0,94.5
2020-01-02 01:00:00+00:00,0.0,0.0,0.0,11.79,53.78,4.39,0.0,94.54
2020-01-02 02:00:00+00:00,0.0,0.0,0.0,11.71,54.21,4.61,0.0,94.61
2020-01-02 03:00:00+00:00,0.0,0.0,0.0,11.79,54.19,4.87,0.0,94.68
2020-01-02 04:00:00+00:00,110.5,163.19,78.75,12.56,52.06,5.39,0.0,94.73
2020-01-02 05:00:00+00:00,283.95,399.07,140.26,14.72,45.97,5.52,0.0,94.77
2020-01-02 06:00:00+00:00,459.8,530.07,182.52,17.65,38.73,6.07,0.0,94.78
2020-01-02 07:00:00+00:00,601.12,604.18,213.42,20.54,32.63,6.76,0.0,94.71
2020-01-02 08:00:00+00:00,688.28,724.37,182.89,23.25,27.79,7.24,0.0,94.62
2020-01-02 09:00:00+00:00,687.53,750.9,177.23,25.22,25.08,7.47,0.0,94.49
2020-01-02 10:00:00+00:00,613.88,705.42,169.91,26.4,24.12,7.44,0.0,94.42
2020-01-02 11:00:00+00:00,475.38,632.03,149.05,26.93,24.09,7.21,0.0,94.39
2020-01-02 12:00:00+00:00,290.95,483.21,122.77,26.65,24.7,6.56,0.0,94.38
2020-01-02 13:00:00+00:00,101.3,208.92,62.97,23.84,28.9,4.23,0.0,94.42
2020-01-02 14:00:00+00:00,0.0,0.0,0.0,20.57,34.3,4.57,0.0,94.49
2020-01-02 15:00:00+00:00,0.0,0.0,0.0,19.84,34.94,5.5,0.0,94.57
2020-01-02 16:00:00+00:00,0.0,0.0,0.0,19.07,36.26,6.31,0.0,94.62
2020-01-02 17:00:00+00:00,0.0,0.0,0.0,18.31,37.9,6.64,0.0,94.65
2020-01-02 18:00:00+00:00,0.0,0.0,0.0,17.72,39.26,6.73,0.0,94.67
2020-01-02 19:00:00+00:00,0.0,0.0,0.0,17.09,40.85,6.67,0.0,94.65
2020-01-02 20:00:00+00:00,0.0,0.0,0.0,16.41,42.56,6.68,0.0,94.62
2020-01-02 21:00:00+00:00,0.0,0.0,0.0,15.85,44.18,6.71,0.0,94.61
2020-01-02 22:00:00+00:00,0.0,0.0,0.0,15.39,45.76,6.73,0.0,94.59
2020-01-02 23:00:00+00:00,0.0,0.0,0.0,15.03,47.0,6.8,0.0,94.57
2020-01-03 00:00:00+00:00,0.0,0.0,0.0,14.78,47.93,6.91,0.0,94.55
2020-01-03 01:00:00+00:00,0.0,0.0,0.0,14.58,48.75,6.97,0.0,94.57
2020-01-03 02:00:00+00:00,0.0,0.0,0.0,14.39,49.66,6.98,0.0,94.63
2020-01-03 03:00:00+00:00,0.0,0.0,0.0,14.25,50.05,6.85,0.0,94.69
2020-01-03 04:00:00+00:00,122.82,320.71,65.61,15.48,45.91,7.49,0.0,94.74
2020-01-03 05:00:00+00:00,314.17,593.55,102.0,18.39,37.68,7.58,0.0,94.77
2020-01-03 06:00:00+00:00,497.7,726.42,124.21,22.61,28.27,8.02,0.0,94.78
2020-01-03 07:00:00+00:00,633.7,801.23,133.47,25.74,22.91,9.06,0.0,94.71
