time_utc,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS10M,PRECTOTCORR,PS
2018-01-01 00:00:00+00:00,0.0,0.0,0.0,12.19,62.99,4.71,0.0,99.2
2018-01-01 01:00:00+00:00,0.0,0.0,0.0,11.45,65.21,4.35,0.0,99.2
2018-01-01 02:00:00+00:00,0.0,0.0,0.0,11.12,65.57,4.44,0.0,99.19
2018-01-01 03:00:00+00:00,0.0,0.0,0.0,11.08,65.13,4.4,0.0,99.18
2018-01-01 04:00:00+00:00,0.0,0.0,0.0,10.29,68.28,3.85,0.0,99.19
2018-01-01 05:00:00+00:00,0.0,0.0,0.0,9.52,71.78,3.87,0.0,99.21
2018-01-01 06:00:00+00:00,0.0,0.0,0.0,9.39,72.16,4.15,0.0,99.23
2018-01-01 07:00:00+00:00,69.85,123.67,49.65,10.6,66.2,4.92,0.0,99.27
2018-01-01 08:00:00+00:00,237.38,248.55,156.9,12.13,59.95,5.23,0.0,99.32
2018-01-01 09:00:00+00:00,396.65,386.52,226.46,13.49,55.59,4.82,0.0,99.37
2018-01-01 10:00:00+00:00,519.0,520.18,259.84,15.34,50.5,5.53,0.0,99.38
2018-01-01 11:00:00+00:00,670.55,760.56,220.89,17.37,44.99,6.97,0.0,99.32
2018-01-01 12:00:00+00:00,578.12,427.48,304.73,18.51,42.0,7.59,0.0,99.25
2018-01-01 13:00:00+00:00,509.15,298.46,326.88,19.18,40.1,7.58,0.0,99.19
2018-01-01 14:00:00+00:00,400.17,247.28,275.67,19.36,39.36,7.02,0.0,99.15
2018-01-01 15:00:00+00:00,247.7,201.42,191.41,18.51,41.65,5.42,0.0,99.14
2018-01-01 16:00:00+00:00,93.35,102.85,79.34,16.84,45.94,4.53,0.0,99.13
2018-01-01 17:00:00+00:00,0.0,0.0,0.0,15.05,49.76,4.65,0.0,99.15
2018-01-01 18:00:00+00:00,0.0,0.0,0.0,14.6,50.21,5.23,0.0,99.2
2018-01-01 19:00:00+00:00,0.0,0.0,0.0,14.39,50.44,5.79,0.0,99.26
2018-01-01 20:00:00+00:00,0.0,0.0,0.0,13.86,52.23,5.62,0.0,99.31
2018-01-01 21:00:00+00:00,0.0,0.0,0.0,13.31,54.67,5.2,0.0,99.33
2018-01-01 22:00:00+00:00,0.0,0.0,0.0,12.91,56.65,5.3,0.0,99.33
2018-01-01 23:00:00+00:00,0.0,0.0,0.0,12.37,59.12,5.53,0.0,99.31
2018-01-02 00:00:00+00:00,0.0,0.0,0.0,11.57,62.77,5.2,0.0,99.29
2018-01-02 01:00:00+00:00,0.0,0.0,0.0,10.6,67.56,4.74,0.0,99.27
2018-01-02 02:00:00+00:00,0.0,0.0,0.0,10.03,70.68,4.96,0.0,99.25
2018-01-02 03:00:00+00:00,0.0,0.0,0.0,9.29,74.41,5.46,0.0,99.23
2018-01-02 04:00:00+00:00,0.0,0.0,0.0,8.44,77.69,6.19,0.0,99.26
2018-01-02 05:00:00+00:00,0.0,0.0,0.0,7.54,79.6,6.42,0.0,99.32
2018-01-02 06:00:00+00:00,0.0,0.0,0.0,6.71,80.59,6.22,0.0,99.38
2018-01-02 07:00:00+00:00,65.8,92.64,50.08,6.79,76.82,6.52,0.0,99.44
2018-01-02 08:00:00+00:00,241.68,287.64,141.7,8.4,65.98,6.07,0.0,99.51
2018-01-02 09:00:00+00:00,402.67,338.81,220.74,11.23,52.32,5.56,0.0,99.55
2018-01-02 10:00:00+00:00,526.33,335.6,297.5,15.31,34.77,6.85,0.0,99.52
2018-01-02 11:00:00+00:00,589.25,320.66,344.26,18.34,24.65,7.56,0.0,99.42
2018-01-02 12:00:00+00:00,645.92,630.12,229.51,20.32,18.83,7.67,0.0,99.3
2018-01-02 13:00:00+00:00,596.03,545.26,253.47,21.39,15.68,7.64,0.0,99.2
2018-01-02 14:00:00+00:00,451.83,405.17,228.32,21.67,14.06,7.45,0.0,99.13
2018-01-02 15:00:00+00:00,273.38,271.35,169.37,20.62,15.77,5.84,0.0,99.11
2018-01-02 16:00:00+00:00,99.9,75.0,84.49,16.81,24.42,4.34,0.0,99.12
2018-01-02 17:00:00+00:00,0.0,0.0,0.0,14.03,27.71,5.14,0.0,99.15
2018-01-02 18:00:00+00:00,0.0,0.0,0.0,13.22,28.08,5.97,0.0,99.2
2018-01-02 19:00:00+00:00,0.0,0.0,0.0,12.19,29.94,6.05,0.0,99.25
2018-01-02 20:00:00+00:00,0.0,0.0,0.0,10.82,32.92,5.46,0.0,99.28
2018-01-02 21:00:00+00:00,0.0,0.0,0.0,9.61,35.7,4.85,0.0,99.29
2018-01-02 22:00:00+00:00,0.0,0.0,0.0,8.76,37.24,4.61,0.0,99.29
2018-01-02 23:00:00+00:00,0.0,0.0,0.0,8.11,38.32,4.56,0.0,99.26
2018-01-03 00:00:00+00:00,0.0,0.0,0.0,7.56,39.32,4.56,0.0,99.24
2018-01-03 01:00:00+00:00,0.0,0.0,0.0,7.07,40.33,4.57,0.0,99.22
2018-01-03 02:00:00+00:00,0.0,0.0,0.0,6.74,40.94,4.69,0.0,99.22
2018-01-03 03:00:00+00:00,0.0,0.0,0.0,6.53,41.36,4.94,0.0,99.2
2018-01-03 04:00:00+00:00,0.0,0.0,0.0,6.35,41.88,5.14,0.0,99.21
2018-01-03 05:00:00+00:00,0.0,0.0,0.0,6.17,42.08,5.19,0.0,99.24
2018-01-03 06:00:00+00:00,0.0,0.0,0.0,5.89,42.76,5.03,0.0,99.3
2018-01-03 07:00:00+00:00,84.38,388.23,35.17,7.0,39.31,5.68,0.0,99.36
2018-01-03 08:00:00+00:00,287.17,671.57,82.05,9.34,33.83,5.63,0.0,99.44
2018-01-03 09:00:00+00:00,468.27,747.53,122.06,12.47,29.03,4.6,0.0,99.5
2018-01-03 10:00:00+00:00,602.45,756.33,163.32,16.74,24.29,5.13,0.0,99.49
2018-01-03 11:00:00+00:00,675.45,735.11,196.09,20.62,20.68,6.37,0.0,99.43
2018-01-03 12:00:00+00:00,703.3,909.81,122.22,22.81,18.93,5.94,0.0,99.33
2018-01-03 13:00:00+00:00,629.95,816.07,141.46,23.97,18.0,5.63,0.0,99.24
2018-01-03 14:00:00+00:00,443.26,543.93,169.1,24.33,17.92,5.61,0.0,99.18
2018-01-03 15:00:00+00:00,283.94,482.53,114.87,23.31,21.21,4.42,0.0,99.16
2018-01-03 16:00:00+00:00,108.37,277.31,62.93,18.86,31.96,3.71,0.0,99.17
2018-01-03 17:00:00+00:00,0.0,0.0,0.0,15.6,36.08,4.49,0.0,99.22
2018-01-03 18:00:00+00:00,0.0,0.0,0.0,14.6,37.08,5.1,0.0,99.3
2018-01-03 19:00:00+00:00,0.0,0.0,0.0,13.7,38.52,5.47,0.0,99.37
2018-01-03 20:00:00+00:00,0.0,0.0,0.0,12.79,40.35,5.51,0.0,99.4
2018-01-03 21:00:00+00:00,0.0,0.0,0.0,11.94,42.57,5.38,0.0,99.41
2018-01-03 22:00:00+00:00,0.0,0.0,0.0,11.15,44.97,5.14,0.0,99.4
2018-01-03 23:00:00+00:00,0.0,0.0,0.0,10.41,47.72,4.82,0.0,99.36
2018-01-04 00:00:00+00:00,0.0,0.0,0.0,9.76,50.62,4.5,0.0,99.33
2018-01-04 01:00:00+00:00,0.0,0.0,0.0,9.17,53.48,4.21,0.0,99.31
2018-01-04 02:00:00+00:00,0.0,0.0,0.0,8.62,56.34,3.99,0.0,99.27
2018-01-04 03:00:00+00:00,0.0,0.0,0.0,8.1,59.23,3.88,0.0,99.26
2018-01-04 04:00:00+00:00,0.0,0.0,0.0,7.59,61.94,3.83,0.0,99.26
2018-01-04 05:00:00+00:00,0.0,0.0,0.0,7.1,64.7,3.79,0.0,99.29
2018-01-04 06:00:00+00:00,0.0,0.0,0.0,6.6,67.32,3.7,0.0,99.34
