time_utc,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS10M,PRECTOTCORR,PS
2018-01-01 00:00:00+00:00,0.0,0.0,0.0,-32.29,100.0,1.47,0.0,98.07
2018-01-01 01:00:00+00:00,0.0,0.0,0.0,-32.29,100.0,1.32,0.0,98.04
2018-01-01 02:00:00+00:00,0.0,0.0,0.0,-32.36,100.0,1.28,0.0,98.01
2018-01-01 03:00:00+00:00,0.0,0.0,0.0,-32.67,100.0,1.42,0.0,97.97
2018-01-01 04:00:00+00:00,0.0,0.0,0.0,-33.17,100.0,1.65,0.0,97.95
2018-01-01 05:00:00+00:00,0.0,0.0,0.0,-33.67,100.0,1.91,0.0,97.92
2018-01-01 06:00:00+00:00,0.0,0.0,0.0,-34.07,100.0,2.12,0.0,97.9
2018-01-01 07:00:00+00:00,0.0,0.0,0.0,-34.26,100.0,2.24,0.01,97.89
2018-01-01 08:00:00+00:00,0.0,0.0,0.0,-34.32,100.0,2.25,0.01,97.89
2018-01-01 09:00:00+00:00,0.0,0.0,0.0,-34.25,100.0,2.21,0.0,97.89
2018-01-01 10:00:00+00:00,0.0,0.0,0.0,-34.03,100.0,2.14,0.0,97.87
2018-01-01 11:00:00+00:00,0.0,0.0,0.0,-33.87,100.0,2.08,0.0,97.85
2018-01-01 12:00:00+00:00,0.0,0.0,0.0,-33.79,100.0,2.06,0.0,97.82
2018-01-01 13:00:00+00:00,0.0,0.0,0.0,-33.83,100.0,2.13,0.0,97.81
2018-01-01 14:00:00+00:00,0.0,0.0,0.0,-34.04,100.0,2.3,0.0,97.79
2018-01-01 15:00:00+00:00,18.55,33.06,20.15,-34.26,100.0,2.44,0.0,97.76
2018-01-01 16:00:00+00:00,23.83,41.54,23.12,-34.26,100.0,2.46,0.0,97.72
2018-01-01 17:00:00+00:00,12.8,22.64,12.15,-34.15,100.0,2.41,0.0,97.71
2018-01-01 18:00:00+00:00,6.72,21.43,11.2,-34.12,100.0,2.32,0.01,97.71
2018-01-01 19:00:00+00:00,0.0,0.0,0.0,-34.07,100.0,2.2,0.01,97.72
2018-01-01 20:00:00+00:00,0.0,0.0,0.0,-33.89,100.0,2.11,0.01,97.75
2018-01-01 21:00:00+00:00,0.0,0.0,0.0,-33.67,100.0,2.19,0.01,97.76
2018-01-01 22:00:00+00:00,0.0,0.0,0.0,-33.6,100.0,2.41,0.01,97.76
2018-01-01 23:00:00+00:00,0.0,0.0,0.0,-33.75,100.0,2.62,0.0,97.75
