time,beam_poa_w_m2,diffuse_poa_w_m2,reflected_poa_w_m2,H_sun,temp_air_c,wind_speed_m_s,Int,date,poa_w_m2
20180101:0030,0.0,0.0,0.0,0.0,-29.66,1.72,0.0,2018-01-01 00:30:00,0.0
20180101:0130,0.0,0.0,0.0,0.0,-29.73,1.59,0.0,2018-01-01 01:30:00,0.0
20180101:0230,0.0,0.0,0.0,0.0,-29.99,1.52,0.0,2018-01-01 02:30:00,0.0
20180101:0330,0.0,0.0,0.0,0.0,-30.05,1.52,0.0,2018-01-01 03:30:00,0.0
20180101:0430,0.0,0.0,0.0,0.0,-30.29,1.52,0.0,2018-01-01 04:30:00,0.0
20180101:0530,0.0,0.0,0.0,0.0,-30.14,1.52,0.0,2018-01-01 05:30:00,0.0
20180101:0630,0.0,0.0,0.0,0.0,-30.3,1.59,0.0,2018-01-01 06:30:00,0.0
20180101:0730,0.0,0.0,0.0,0.0,-30.21,1.59,0.0,2018-01-01 07:30:00,0.0
20180101:0830,0.0,0.0,0.0,0.0,-30.39,1.45,0.0,2018-01-01 08:30:00,0.0
20180101:0930,0.0,0.0,0.0,0.0,-30.15,1.38,0.0,2018-01-01 09:30:00,0.0
20180101:1030,0.0,0.0,0.0,0.0,-29.83,1.03,0.0,2018-01-01 10:30:00,0.0
20180101:1130,0.0,0.0,0.0,0.0,-29.74,1.24,0.0,2018-01-01 11:30:00,0.0
20180101:1230,0.0,0.0,0.0,0.0,-29.63,1.24,0.0,2018-01-01 12:30:00,0.0
20180101:1330,0.0,0.0,0.0,0.0,-30.0,1.24,0.0,2018-01-01 13:30:00,0.0
20180101:1430,0.0,0.0,0.0,-0.28,-29.67,1.17,0.0,2018-01-01 14:30:00,0.0
20180101:1530,0.0,15.72,0.15,2.24,-29.9,1.17,0.0,2018-01-01 15:30:00,15.870000000000001
20180101:1630,120.44,37.23,0.36,3.23,-29.83,1.17,0.0,2018-01-01 16:30:00,158.03
