time_utc,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS10M,PRECTOTCORR,PS
2018-01-01 00:00:00+00:00,0.0,0.0,0.0,6.64,85.73,11.82,0.01,99.24
2018-01-01 01:00:00+00:00,0.0,0.0,0.0,6.34,85.72,12.24,0.12,99.26
2018-01-01 02:00:00+00:00,0.0,0.0,0.0,6.3,85.63,12.41,0.19,99.27
2018-01-01 03:00:00+00:00,0.0,0.0,0.0,6.26,86.88,12.15,0.18,99.28
2018-01-01 04:00:00+00:00,0.0,0.0,0.0,6.17,90.02,11.37,0.1,99.37
2018-01-01 05:00:00+00:00,0.0,0.0,0.0,6.15,89.76,10.47,0.01,99.5
2018-01-01 06:00:00+00:00,0.0,0.0,0.0,5.49,90.54,8.99,0.01,99.61
2018-01-01 07:00:00+00:00,0.0,0.0,0.0,4.61,93.3,7.85,0.03,99.65
2018-01-01 08:00:00+00:00,23.75,41.78,21.99,4.39,94.37,7.64,0.03,99.65
2018-01-01 09:00:00+00:00,58.92,57.96,44.44,5.27,91.2,8.42,0.02,99.59
2018-01-01 10:00:00+00:00,95.72,70.96,74.74,6.42,86.45,9.42,0.0,99.51
2018-01-01 11:00:00+00:00,123.55,5.32,106.59,7.3,83.29,8.82,0.0,99.38
2018-01-01 12:00:00+00:00,117.55,11.23,102.04,8.01,80.56,8.03,0.02,99.24
2018-01-01 13:00:00+00:00,29.58,0.0,25.5,8.03,81.8,6.93,0.17,99.08
2018-01-01 14:00:00+00:00,23.75,0.0,20.75,7.28,86.89,5.5,0.73,98.93
2018-01-01 15:00:00+00:00,3.9,0.0,4.09,6.14,92.86,4.22,1.34,98.8
2018-01-01 16:00:00+00:00,0.0,0.0,0.0,5.2,95.13,2.85,1.7,98.73
2018-01-01 17:00:00+00:00,0.0,0.0,0.0,4.55,95.1,0.53,1.28,98.77
2018-01-01 18:00:00+00:00,0.0,0.0,0.0,4.32,95.84,4.08,0.48,98.91
2018-01-01 19:00:00+00:00,0.0,0.0,0.0,4.5,96.67,6.04,0.2,99.08
2018-01-01 20:00:00+00:00,0.0,0.0,0.0,5.15,96.48,7.31,0.09,99.23
2018-01-01 21:00:00+00:00,0.0,0.0,0.0,5.57,95.08,7.7,0.08,99.4
2018-01-01 22:00:00+00:00,0.0,0.0,0.0,5.53,93.36,7.67,0.04,99.52
2018-01-01 23:00:00+00:00,0.0,0.0,0.0,5.42,93.43,7.12,0.12,99.59
2018-01-02 00:00:00+00:00,0.0,0.0,0.0,5.29,94.7,6.93,0.25,99.66
2018-01-02 01:00:00+00:00,0.0,0.0,0.0,5.16,95.66,7.47,0.35,99.76
2018-01-02 02:00:00+00:00,0.0,0.0,0.0,5.05,95.95,7.86,0.27,99.86
2018-01-02 03:00:00+00:00,0.0,0.0,0.0,5.01,95.58,8.14,0.22,99.95
2018-01-02 04:00:00+00:00,0.0,0.0,0.0,5.03,94.14,8.73,0.17,100.12
