time,beam_poa_w_m2,diffuse_poa_w_m2,reflected_poa_w_m2,H_sun,temp_air_c,wind_speed_m_s,Int,date,poa_w_m2
20180101:0010,0.0,0.0,0.0,0.0,7.59,8.21,0.0,2018-01-01 00:10:00,0.0
20180101:0110,0.0,0.0,0.0,0.0,7.19,8.97,0.0,2018-01-01 01:10:00,0.0
20180101:0210,0.0,0.0,0.0,0.0,7.07,9.1,0.0,2018-01-01 02:10:00,0.0
20180101:0310,0.0,0.0,0.0,0.0,7.06,8.55,0.0,2018-01-01 03:10:00,0.0
20180101:0410,0.0,0.0,0.0,0.0,6.67,8.0,0.0,2018-01-01 04:10:00,0.0
20180101:0510,0.0,0.0,0.0,0.0,6.39,7.45,0.0,2018-01-01 05:10:00,0.0
20180101:0610,0.0,0.0,0.0,0.0,6.18,7.03,0.0,2018-01-01 06:10:00,0.0
20180101:0710,0.0,0.0,0.0,0.0,6.14,6.9,0.0,2018-01-01 07:10:00,0.0
20180101:0810,7.53,10.84,0.11,2.46,6.06,6.9,0.0,2018-01-01 08:10:00,18.48
20180101:0910,230.0,79.42,1.11,8.73,6.22,6.83,0.0,2018-01-01 09:10:00,310.53000000000003
20180101:1010,313.03,112.65,1.81,13.28,6.82,6.83,0.0,2018-01-01 10:10:00,427.48999999999995
20180101:1110,52.6,126.92,1.35,15.74,7.4,5.72,0.0,2018-01-01 11:10:00,180.87
20180101:1210,16.68,105.87,1.08,15.88,7.47,5.1,0.0,2018-01-01 12:10:00,123.63000000000001
20180101:1310,0.0,39.07,0.38,13.7,7.28,5.93,0.0,2018-01-01 13:10:00,39.45
20180101:1410,0.0,29.54,0.29,9.39,5.87,5.31,0.0,2018-01-01 14:10:00,29.83
20180101:1510,0.0,6.67,0.07,3.3,4.7,4.14,0.0,2018-01-01 15:10:00,6.74
20180101:1610,0.0,0.0,0.0,0.0,4.76,3.24,0.0,2018-01-01 16:10:00,0.0
20180101:1710,0.0,0.0,0.0,0.0,5.17,2.07,0.0,2018-01-01 17:10:00,0.0
20180101:1810,0.0,0.0,0.0,0.0,5.18,2.69,0.0,2018-01-01 18:10:00,0.0
20180101:1910,0.0,0.0,0.0,0.0,4.55,4.48,0.0,2018-01-01 19:10:00,0.0
20180101:2010,0.0,0.0,0.0,0.0,4.25,4.69,0.0,2018-01-01 20:10:00,0.0
20180101:2110,0.0,0.0,0.0,0.0,4.38,5.03,0.0,2018-01-01 21:10:00,0.0
20180101:2210,0.0,0.0,0.0,0.0,5.11,5.66,0.0,2018-01-01 22:10:00,0.0
20180101:2310,0.0,0.0,0.0,0.0,5.36,6.07,0.0,2018-01-01 23:10:00,0.0
20180102:0010,0.0,0.0,0.0,0.0,5.26,5.59,0.0,2018-01-02 00:10:00,0.0
20180102:0110,0.0,0.0,0.0,0.0,5.14,5.79,0.0,2018-01-02 01:10:00,0.0
20180102:0210,0.0,0.0,0.0,0.0,5.27,6.55,0.0,2018-01-02 02:10:00,0.0
20180102:0310,0.0,0.0,0.0,0.0,5.25,6.97,0.0,2018-01-02 03:10:00,0.0
20180102:0410,0.0,0.0,0.0,0.0,5.17,6.76,0.0,2018-01-02 04:10:00,0.0
20180102:0510,0.0,0.0,0.0,0.0,5.11,6.14,0.0,2018-01-02 05:10:00,0.0
20180102:0610,0.0,0.0,0.0,0.0,4.98,5.72,0.0,2018-01-02 06:10:00,0.0
20180102:0710,0.0,0.0,0.0,0.0,4.69,5.03,0.0,2018-01-02 07:10:00,0.0
20180102:0810,0.0,7.62,0.07,2.48,4.37,4.62,0.0,2018-01-02 08:10:00,7.69
20180102:0910,87.84,78.61,0.85,8.77,4.33,4.07,0.0,2018-01-02 09:10:00,167.29999999999998
20180102:1010,140.64,124.99,1.46,13.34,4.89,3.52,0.0,2018-01-02 10:10:00,267.09
20180102:1110,14.3,103.5,1.05,15.81,5.65,4.0,0.0,2018-01-02 11:10:00,118.85
20180102:1210,26.11,115.47,1.19,15.98,6.2,4.07,0.0,2018-01-02 12:10:00,142.76999999999998
20180102:1310,2.52,69.91,0.69,13.8,6.73,4.34,0.0,2018-01-02 13:10:00,73.11999999999999
20180102:1410,24.05,65.67,0.67,9.5,6.97,4.83,0.0,2018-01-02 14:10:00,90.39
20180102:1510,28.95,19.36,0.22,3.43,7.01,5.17,0.0,2018-01-02 15:10:00,48.53
20180102:1610,0.0,0.0,0.0,0.0,6.88,5.52,0.0,2018-01-02 16:10:00,0.0
20180102:1710,0.0,0.0,0.0,0.0,6.55,6.14,0.0,2018-01-02 17:10:00,0.0
20180102:1810,0.0,0.0,0.0,0.0,6.71,7.24,0.0,2018-01-02 18:10:00,0.0
20180102:1910,0.0,0.0,0.0,0.0,6.81,7.45,0.0,2018-01-02 19:10:00,0.0
20180102:2010,0.0,0.0,0.0,0.0,7.4,7.31,0.0,2018-01-02 20:10:00,0.0
20180102:2110,0.0,0.0,0.0,0.0,7.91,6.76,0.0,2018-01-02 21:10:00,0.0
20180102:2210,0.0,0.0,0.0,0.0,8.44,6.62,0.0,2018-01-02 22:10:00,0.0
20180102:2310,0.0,0.0,0.0,0.0,8.95,7.03,0.0,2018-01-02 23:10:00,0.0
20180103:0010,0.0,0.0,0.0,0.0,9.72,7.72,0.0,2018-01-03 00:10:00,0.0
20180103:0110,0.0,0.0,0.0,0.0,10.42,9.52,0.0,2018-01-03 01:10:00,0.0
20180103:0210,0.0,0.0,0.0,0.0,10.46,10.55,0.0,2018-01-03 02:10:00,0.0
20180103:0310,0.0,0.0,0.0,0.0,10.8,11.24,0.0,2018-01-03 03:10:00,0.0
20180103:0410,0.0,0.0,0.0,0.0,10.7,10.83,0.0,2018-01-03 04:10:00,0.0
20180103:0510,0.0,0.0,0.0,0.0,9.06,10.28,0.0,2018-01-03 05:10:00,0.0
20180103:0610,0.0,0.0,0.0,0.0,7.79,10.14,0.0,2018-01-03 06:10:00,0.0
20180103:0710,0.0,0.0,0.0,0.0,7.21,10.48,0.0,2018-01-03 07:10:00,0.0
20180103:0810,0.0,5.72,0.06,2.51,6.39,9.93,0.0,2018-01-03 08:10:00,5.779999999999999
20180103:0910,40.59,67.47,0.7,8.81,6.66,9.17,0.0,2018-01-03 09:10:00,108.76
20180103:1010,119.73,121.76,1.4,13.4,7.46,9.52,0.0,2018-01-03 10:10:00,242.89000000000001
20180103:1110,0.0,42.88,0.42,15.9,8.26,10.34,0.0,2018-01-03 11:10:00,43.300000000000004
20180103:1210,0.0,23.82,0.23,16.08,8.37,10.69,0.0,2018-01-03 12:10:00,24.05
20180103:1310,0.0,50.5,0.5,13.92,8.55,10.07,0.0,2018-01-03 13:10:00,51.0
20180103:1410,0.0,17.15,0.17,9.63,8.53,9.86,0.0,2018-01-03 14:10:00,17.32
20180103:1510,0.0,6.67,0.07,3.56,8.44,8.83,0.0,2018-01-03 15:10:00,6.74
20180103:1610,0.0,0.0,0.0,0.0,7.83,8.28,0.0,2018-01-03 16:10:00,0.0
20180103:1710,0.0,0.0,0.0,0.0,7.42,7.86,0.0,2018-01-03 17:10:00,0.0
20180103:1810,0.0,0.0,0.0,0.0,7.37,7.59,0.0,2018-01-03 18:10:00,0.0
20180103:1910,0.0,0.0,0.0,0.0,7.22,7.59,0.0,2018-01-03 19:10:00,0.0
20180103:2010,0.0,0.0,0.0,0.0,7.21,7.24,0.0,2018-01-03 20:10:00,0.0
20180103:2110,0.0,0.0,0.0,0.0,7.19,6.9,0.0,2018-01-03 21:10:00,0.0
20180103:2210,0.0,0.0,0.0,0.0,7.04,6.62,0.0,2018-01-03 22:10:00,0.0
20180103:2310,0.0,0.0,0.0,0.0,6.8,6.41,0.0,2018-01-03 23:10:00,0.0
20180104:0010,0.0,0.0,0.0,0.0,6.7,6.21,0.0,2018-01-04 00:10:00,0.0
20180104:0110,0.0,0.0,0.0,0.0,6.48,5.86,0.0,2018-01-04 01:10:00,0.0
20180104:0210,0.0,0.0,0.0,0.0,6.41,5.38,0.0,2018-01-04 02:10:00,0.0
20180104:0310,0.0,0.0,0.0,0.0,6.36,4.97,0.0,2018-01-04 03:10:00,0.0
20180104:0410,0.0,0.0,0.0,0.0,6.3,4.62,0.0,2018-01-04 04:10:00,0.0
20180104:0510,0.0,0.0,0.0,0.0,6.24,4.07,0.0,2018-01-04 05:10:00,0.0
20180104:0610,0.0,0.0,0.0,0.0,5.89,3.66,0.0,2018-01-04 06:10:00,0.0
20180104:0710,0.0,0.0,0.0,0.0,6.84,4.0,0.0,2018-01-04 07:10:00,0.0
20180104:0810,0.0,4.76,0.05,2.54,7.02,3.52,0.0,2018-01-04 08:10:00,4.81
20180104:0910,37.26,67.8,0.7,8.87,7.31,3.03,0.0,2018-01-04 09:10:00,105.76
20180104:1010,0.0,38.11,0.37,13.47,7.61,3.52,0.0,2018-01-04 10:10:00,38.48
20180104:1110,0.0,30.49,0.3,15.99,8.13,4.55,0.0,2018-01-04 11:10:00,30.79
20180104:1210,2.35,82.27,0.82,16.19,9.65,6.41,0.0,2018-01-04 12:10:00,85.43999999999998
20180104:1310,0.0,62.89,0.62,14.04,11.63,8.34,0.0,2018-01-04 13:10:00,63.51
20180104:1410,250.95,82.75,1.26,9.76,11.85,9.1,0.0,2018-01-04 14:10:00,334.96
20180104:1510,0.0,8.58,0.08,3.7,11.56,8.69,0.0,2018-01-04 15:10:00,8.66
20180104:1610,0.0,0.0,0.0,0.0,11.09,9.1,0.0,2018-01-04 16:10:00,0.0
20180104:1710,0.0,0.0,0.0,0.0,10.74,9.03,0.0,2018-01-04 17:10:00,0.0
20180104:1810,0.0,0.0,0.0,0.0,10.06,9.1,0.0,2018-01-04 18:10:00,0.0
20180104:1910,0.0,0.0,0.0,0.0,9.31,8.97,0.0,2018-01-04 19:10:00,0.0
20180104:2010,0.0,0.0,0.0,0.0,8.78,8.41,0.0,2018-01-04 20:10:00,0.0
