time_utc,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS10M,PRECTOTCORR,PS
2018-01-01 00:00:00+00:00,0.0,0.0,0.0,13.08,46.02,5.19,0.0,97.8
2018-01-01 01:00:00+00:00,0.0,0.0,0.0,12.68,47.78,5.18,0.0,97.8
2018-01-01 02:00:00+00:00,0.0,0.0,0.0,12.19,50.33,5.06,0.0,97.79
2018-01-01 03:00:00+00:00,0.0,0.0,0.0,10.91,56.09,4.57,0.0,97.78
2018-01-01 04:00:00+00:00,0.0,0.0,0.0,10.66,57.76,4.74,0.0,97.78
2018-01-01 05:00:00+00:00,0.0,0.0,0.0,10.56,58.16,4.92,0.0,97.81
2018-01-01 06:00:00+00:00,0.0,0.0,0.0,10.28,58.9,5.01,0.0,97.84
2018-01-01 07:00:00+00:00,106.7,255.93,65.99,11.8,53.04,6.31,0.0,97.88
2018-01-01 08:00:00+00:00,310.25,609.33,120.78,14.09,45.87,6.22,0.0,97.92
2018-01-01 09:00:00+00:00,502.02,857.68,110.62,16.79,39.24,5.81,0.0,97.95
2018-01-01 10:00:00+00:00,563.58,676.68,214.74,19.38,33.41,7.54,0.0,97.94
2018-01-01 11:00:00+00:00,629.4,535.73,331.34,20.67,30.44,7.81,0.0,97.88
2018-01-01 12:00:00+00:00,645.22,648.08,262.76,21.56,28.55,7.76,0.0,97.8
2018-01-01 13:00:00+00:00,580.08,743.37,177.63,21.92,27.92,7.59,0.0,97.74
2018-01-01 14:00:00+00:00,450.23,640.16,178.5,21.85,28.15,7.45,0.0,97.71
2018-01-01 15:00:00+00:00,272.1,478.69,139.84,21.55,29.22,7.29,0.0,97.72
2018-01-01 16:00:00+00:00,85.25,213.98,57.65,19.4,34.33,5.17,0.0,97.72
2018-01-01 17:00:00+00:00,0.0,0.0,0.0,17.13,40.08,4.51,0.0,97.75
2018-01-01 18:00:00+00:00,0.0,0.0,0.0,16.67,41.46,5.32,0.0,97.8
2018-01-01 19:00:00+00:00,0.0,0.0,0.0,15.99,43.91,5.8,0.0,97.85
2018-01-01 20:00:00+00:00,0.0,0.0,0.0,14.97,47.91,6.03,0.0,97.87
2018-01-01 21:00:00+00:00,0.0,0.0,0.0,13.86,52.77,5.74,0.0,97.89
2018-01-01 22:00:00+00:00,0.0,0.0,0.0,13.15,56.41,5.75,0.0,97.9
2018-01-01 23:00:00+00:00,0.0,0.0,0.0,12.85,58.25,6.32,0.0,97.88
2018-01-02 00:00:00+00:00,0.0,0.0,0.0,11.91,62.62,6.0,0.0,97.86
2018-01-02 01:00:00+00:00,0.0,0.0,0.0,11.15,66.32,5.84,0.0,97.85
2018-01-02 02:00:00+00:00,0.0,0.0,0.0,10.98,67.3,6.17,0.0,97.82
2018-01-02 03:00:00+00:00,0.0,0.0,0.0,10.65,68.65,6.43,0.0,97.8
2018-01-02 04:00:00+00:00,0.0,0.0,0.0,10.3,69.28,6.85,0.0,97.8
2018-01-02 05:00:00+00:00,0.0,0.0,0.0,9.9,68.76,7.06,0.0,97.85
2018-01-02 06:00:00+00:00,0.0,0.0,0.0,9.3,67.23,6.85,0.0,97.91
2018-01-02 07:00:00+00:00,100.07,289.4,56.44,9.81,59.58,7.28,0.0,97.98
2018-01-02 08:00:00+00:00,286.2,505.65,120.84,12.02,46.56,7.11,0.0,98.05
2018-01-02 09:00:00+00:00,461.4,582.85,173.92,15.66,29.09,9.21,0.0,98.09
2018-01-02 10:00:00+00:00,592.85,612.09,222.71,18.53,19.54,9.34,0.0,98.05
2018-01-02 11:00:00+00:00,677.45,759.32,185.57,20.7,14.42,8.82,0.0,97.95
2018-01-02 12:00:00+00:00,662.67,666.88,223.09,22.19,11.39,8.43,0.0,97.84
2018-01-02 13:00:00+00:00,580.88,562.32,236.44,22.99,9.72,8.22,0.0,97.75
2018-01-02 14:00:00+00:00,435.33,438.07,211.29,23.12,9.09,7.95,0.0,97.7
2018-01-02 15:00:00+00:00,253.5,278.72,161.71,22.26,9.98,6.36,0.0,97.68
2018-01-02 16:00:00+00:00,75.28,55.95,62.82,17.76,16.74,3.84,0.0,97.7
2018-01-02 17:00:00+00:00,0.0,0.0,0.0,14.0,21.39,4.32,0.0,97.73
2018-01-02 18:00:00+00:00,0.0,0.0,0.0,13.29,22.52,4.77,0.0,97.79
2018-01-02 19:00:00+00:00,0.0,0.0,0.0,12.72,24.45,5.38,0.0,97.83
2018-01-02 20:00:00+00:00,0.0,0.0,0.0,11.87,28.01,5.76,0.0,97.86
2018-01-02 21:00:00+00:00,0.0,0.0,0.0,10.76,32.95,5.48,0.0,97.89
2018-01-02 22:00:00+00:00,0.0,0.0,0.0,9.9,37.73,5.41,0.0,97.89
2018-01-02 23:00:00+00:00,0.0,0.0,0.0,9.31,41.52,5.64,0.0,97.87
2018-01-03 00:00:00+00:00,0.0,0.0,0.0,8.91,44.02,5.97,0.0,97.85
2018-01-03 01:00:00+00:00,0.0,0.0,0.0,8.59,45.11,6.22,0.0,97.82
2018-01-03 02:00:00+00:00,0.0,0.0,0.0,8.29,44.89,6.32,0.0,97.81
2018-01-03 03:00:00+00:00,0.0,0.0,0.0,7.85,44.19,6.3,0.0,97.81
2018-01-03 04:00:00+00:00,0.0,0.0,0.0,7.68,42.17,6.57,0.0,97.82
2018-01-03 05:00:00+00:00,0.0,0.0,0.0,7.63,40.23,6.74,0.0,97.84
2018-01-03 06:00:00+00:00,0.0,0.0,0.0,7.52,39.04,6.73,0.0,97.89
2018-01-03 07:00:00+00:00,115.5,479.7,38.42,8.79,35.41,7.31,0.0,97.95
2018-01-03 08:00:00+00:00,316.48,788.49,72.3,11.67,29.81,6.91,0.0,98.03
2018-01-03 09:00:00+00:00,495.83,846.72,98.28,15.88,23.64,7.16,0.0,98.09
2018-01-03 10:00:00+00:00,625.35,872.61,118.98,19.7,18.85,8.83,0.0,98.07
2018-01-03 11:00:00+00:00,699.4,920.67,114.67,21.87,16.36,8.17,0.0,98.02
2018-01-03 12:00:00+00:00,692.38,881.58,131.76,23.43,15.15,7.35,0.0,97.93
2018-01-03 13:00:00+00:00,614.97,817.05,140.76,24.37,14.76,6.8,0.0,97.85
2018-01-03 14:00:00+00:00,476.9,747.22,123.39,24.6,15.11,6.52,0.0,97.8
2018-01-03 15:00:00+00:00,293.17,626.66,92.28,23.87,16.42,5.7,0.0,97.79
2018-01-03 16:00:00+00:00,94.3,300.12,46.44,19.5,24.08,3.44,0.0,97.81
2018-01-03 17:00:00+00:00,0.0,0.0,0.0,15.75,29.82,3.77,0.0,97.86
2018-01-03 18:00:00+00:00,0.0,0.0,0.0,14.55,32.05,3.82,0.0,97.94
2018-01-03 19:00:00+00:00,0.0,0.0,0.0,13.56,34.3,3.89,0.0,98.0
2018-01-03 20:00:00+00:00,0.0,0.0,0.0,12.78,36.64,4.09,0.0,98.03
2018-01-03 21:00:00+00:00,0.0,0.0,0.0,12.18,38.88,4.42,0.0,98.03
2018-01-03 22:00:00+00:00,0.0,0.0,0.0,11.67,41.35,4.79,0.0,98.01
2018-01-03 23:00:00+00:00,0.0,0.0,0.0,11.11,44.2,5.02,0.0,97.98
2018-01-04 00:00:00+00:00,0.0,0.0,0.0,10.56,47.06,5.15,0.0,97.94
2018-01-04 01:00:00+00:00,0.0,0.0,0.0,10.08,49.6,5.19,0.0,97.91
2018-01-04 02:00:00+00:00,0.0,0.0,0.0,9.61,51.57,5.11,0.0,97.89
2018-01-04 03:00:00+00:00,0.0,0.0,0.0,9.2,52.87,5.08,0.0,97.88
2018-01-04 04:00:00+00:00,0.0,0.0,0.0,8.82,53.7,5.09,0.0,97.89
2018-01-04 05:00:00+00:00,0.0,0.0,0.0,8.49,54.22,5.13,0.0,97.91
2018-01-04 06:00:00+00:00,0.0,0.0,0.0,8.13,54.42,5.05,0.0,97.95
