time,beam_poa_w_m2,diffuse_poa_w_m2,reflected_poa_w_m2,H_sun,temp_air_c,wind_speed_m_s,Int,date,poa_w_m2
20180101:0009,0.0,0.0,0.0,0.0,13.12,4.76,0.0,2018-01-01 00:09:00,0.0
20180101:0109,0.0,0.0,0.0,0.0,12.68,5.03,0.0,2018-01-01 01:09:00,0.0
20180101:0209,0.0,0.0,0.0,0.0,12.17,4.62,0.0,2018-01-01 02:09:00,0.0
20180101:0309,0.0,0.0,0.0,0.0,11.42,4.41,0.0,2018-01-01 03:09:00,0.0
20180101:0409,0.0,0.0,0.0,0.0,10.77,4.48,0.0,2018-01-01 04:09:00,0.0
20180101:0509,0.0,0.0,0.0,0.0,10.23,4.41,0.0,2018-01-01 05:09:00,0.0
20180101:0609,0.0,0.0,0.0,0.0,9.6,4.55,0.0,2018-01-01 06:09:00,0.0
20180101:0709,80.5,25.33,0.38,3.69,9.53,4.97,0.0,2018-01-01 07:09:00,106.21
20180101:0809,207.75,126.73,2.0,14.89,11.01,5.03,0.0,2018-01-01 08:09:00,336.48
20180101:0909,283.22,211.97,3.39,24.81,14.6,5.1,0.0,2018-01-01 09:09:00,498.58000000000004
20180101:1009,444.99,249.2,4.8,32.77,18.48,5.86,0.0,2018-01-01 10:09:00,698.99
20180101:1109,783.76,159.68,6.29,37.85,21.48,6.55,0.0,2018-01-01 11:09:00,949.73
20180101:1209,690.69,219.7,6.2,39.18,23.51,6.76,0.0,2018-01-01 12:09:00,916.5900000000001
20180101:1309,478.96,274.88,5.3,36.47,24.91,6.69,0.0,2018-01-01 13:09:00,759.1399999999999
20180101:1409,722.44,104.2,5.24,30.28,25.6,6.83,0.0,2018-01-01 14:09:00,831.8800000000001
20180101:1509,225.9,188.4,2.82,21.54,25.53,7.1,0.0,2018-01-01 15:09:00,417.12
20180101:1609,117.43,97.59,1.28,11.11,24.8,7.1,0.0,2018-01-01 16:09:00,216.3
20180101:1709,0.0,0.0,0.0,0.0,23.15,6.21,0.0,2018-01-01 17:09:00,0.0
20180101:1809,0.0,0.0,0.0,0.0,21.38,6.34,0.0,2018-01-01 18:09:00,0.0
20180101:1909,0.0,0.0,0.0,0.0,19.84,6.83,0.0,2018-01-01 19:09:00,0.0
20180101:2009,0.0,0.0,0.0,0.0,18.45,6.97,0.0,2018-01-01 20:09:00,0.0
20180101:2109,0.0,0.0,0.0,0.0,17.22,6.62,0.0,2018-01-01 21:09:00,0.0
20180101:2209,0.0,0.0,0.0,0.0,16.01,6.28,0.0,2018-01-01 22:09:00,0.0
20180101:2309,0.0,0.0,0.0,0.0,15.05,6.0,0.0,2018-01-01 23:09:00,0.0
