technology_id,bandgap_eV,electron_affinity_eV,ionization_energy_eV,conduction_band_min_eV,valence_band_max_eV,dielectric_constant,refractive_index,extinction_coefficient,absorption_coefficient_cm-1,optical_penetration_depth_um,urbach_energy_eV,electron_mobility_cm2Vs,hole_mobility_cm2Vs,carrier_lifetime_ns,defect_density_cm-3,diffusion_length_um,mu_tau_product_cm2_V,voc_loss_V,recombination_factor_cm3_ns,thermal_conductivity_WmK,moisture_sensitivity_score,uv_stability_score,ion_migration_score,phase_stability_score,source_url,confidence_score
TECH_01,1.12,4.05,5.17,-4.05,-5.17,11.7,3.45,0.01,10000.0,1.0,0.055,1350.0,480.0,1000000.0,10000000000.0,1533.2550308216014,0.915,0.44000000000000006,10000.0,148.0,1,9,0,9,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_02,1.12,4.05,5.17,-4.05,-5.17,11.7,3.45,0.01,10000.0,1.0,0.055,1400.0,500.0,1200000.0,5000000000.0,1711.418715497304,1.1400000000000001,0.40000000000000013,4166.666666666667,148.0,1,9,0,9,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_03,1.12,4.05,5.17,-4.05,-5.17,11.7,3.5,0.015,10000.0,1.0,0.05,1450.0,520.0,1500000.0,4000000000.0,1948.3527825002536,1.4775,0.3800000000000001,2666.6666666666665,148.0,1,9,0,9,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_04,1.12,4.05,5.17,-4.05,-5.17,11.7,3.45,0.01,10000.0,1.0,0.055,1450.0,520.0,1400000.0,4000000000.0,1882.2876137131775,1.379,0.3900000000000001,2857.1428571428573,148.0,1,9,0,9,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_05,1.12,4.05,5.17,-4.05,-5.17,11.7,3.45,0.02,8000.0,1.25,0.08,600.0,250.0,200000.0,200000000000.0,467.31886600644583,0.085,0.4900000000000001,1000000.0,148.0,1,8,0,8,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_06,1.45,4.0,5.45,-4.0,-5.45,10.2,2.25,0.5,100000.0,0.1,0.04,320.0,40.0,10000.0,100000000000000.0,68.00488395488621,0.0018000000000000002,0.61,10000000000.0,6.2,2,7,0,8,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_07,1.15,4.5,5.65,-4.5,-5.65,13.6,2.4,0.4,100000.0,0.1,0.03,100.0,25.0,50000.0,50000000000000.0,89.60430221369988,0.003125,0.42999999999999994,1000000000.0,8.0,2,7,0,7,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_08,1.75,3.8,5.55,-3.8,-5.55,11.9,4.0,0.3,50000.0,0.2,0.1,1.0,0.01,1000.0,1e+16,1.1390677089589436,5.05e-07,0.9,10000000000000.0,1.5,3,6,0,5,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_09,1.12,4.05,5.17,-4.05,-5.17,11.7,3.5,0.1,20000.0,0.5,0.08,10.0,1.0,10000.0,1000000000000000.0,11.88735400177817,5.5e-05,0.5400000000000001,100000000000.0,10.0,2,7,0,6,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_10,1.55,3.9,5.45,-3.9,-5.45,25.0,2.3,0.5,150000.0,0.06666666666666667,0.08,20.0,15.0,1000.0,1000000000000000.0,6.705371985292296,1.7500000000000002e-05,0.42999999999999994,1000000000000.0,0.5,5,4,5,4,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
