technology_id,layer_order,layer_name,material_name,thickness_nm,doping_type,doping_cm3,role
TECH_01,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_01,2,emitter/passivation,SiNx/Al2O3/a-Si/poly-Si,10.0,p/n,1e+18,passivation
TECH_01,3,absorber,c-Si,160000.0,p/n,1e+16,absorber
TECH_01,4,back_contact,Al/Ag/Cu,500.0,metal,0.0,back_contact
TECH_02,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_02,2,emitter/passivation,SiNx/Al2O3/a-Si/poly-Si,10.0,p/n,1e+18,passivation
TECH_02,3,absorber,n-Si + tunnel oxide/poly-Si,150000.0,p/n,1e+16,absorber
TECH_02,4,back_contact,Al/Ag/Cu,500.0,metal,0.0,back_contact
TECH_03,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_03,2,emitter/passivation,SiNx/Al2O3/a-Si/poly-Si,10.0,p/n,1e+18,passivation
TECH_03,3,absorber,c-Si + a-Si:H,150000.0,p/n,5000000000000000.0,absorber
TECH_03,4,back_contact,Al/Ag/Cu,500.0,metal,0.0,back_contact
TECH_04,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_04,2,emitter/passivation,SiNx/Al2O3/a-Si/poly-Si,10.0,p/n,1e+18,passivation
TECH_04,3,absorber,c-Si,150000.0,p/n,1e+16,absorber
TECH_04,4,back_contact,Al/Ag/Cu,500.0,metal,0.0,back_contact
TECH_05,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_05,2,emitter/passivation,SiNx/Al2O3/a-Si/poly-Si,10.0,p/n,1e+18,passivation
TECH_05,3,absorber,mc-Si,180000.0,p/n,1e+16,absorber
TECH_05,4,back_contact,Al/Ag/Cu,500.0,metal,0.0,back_contact
TECH_06,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_06,2,window/buffer,"CdS/Zn(O,S)/i-ZnO",50.0,n,1e+17,buffer
TECH_06,3,absorber,CdTe,3000.0,p,1000000000000000.0,absorber
TECH_06,4,back_contact,Mo/metal,500.0,metal,0.0,back_contact
TECH_07,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_07,2,window/buffer,"CdS/Zn(O,S)/i-ZnO",50.0,n,1e+17,buffer
TECH_07,3,absorber,"Cu(In,Ga)Se2",2500.0,p,500000000000000.0,absorber
TECH_07,4,back_contact,Mo/metal,500.0,metal,0.0,back_contact
TECH_08,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
