technology_id,series_resistance_ohm_cm2,shunt_resistance_ohm_cm2,work_function_eV,defect_density_cm-3,interface_defect_density_cm2,surface_recombination_velocity_cm_s,front_work_function_eV,back_work_function_eV
TECH_01,0.05,10000.0,4.6,10000000000.0,100000000.0,100.0,4.6,4.3999999999999995
TECH_02,0.04,12000.0,4.65,5000000000.0,100000000.0,100.0,4.65,4.45
TECH_03,0.035,15000.0,4.7,4000000000.0,100000000.0,100.0,4.7,4.5
TECH_04,0.035,15000.0,4.6,4000000000.0,100000000.0,100.0,4.6,4.3999999999999995
TECH_05,0.08,8000.0,4.6,200000000000.0,100000000.0,230.10299956639813,4.6,4.3999999999999995
TECH_06,0.15,2000.0,5.0,100000000000000.0,1000000000.0000001,500.0,5.0,4.8
TECH_07,0.12,2500.0,5.2,50000000000000.0,500000000.00000006,469.8970004336019,5.2,5.0
TECH_08,0.25,500.0,4.5,1e+16,100000000000.00002,700.0,4.5,4.3
TECH_09,0.25,800.0,4.6,1000000000000000.0,10000000000.0,600.0,4.6,4.3999999999999995
TECH_10,0.18,1000.0,4.8,1000000000000000.0,10000000000.0,600.0,4.8,4.6
TECH_11,0.12,1500.0,4.8,1000000000000000.0,10000000000.0,600.0,4.8,4.6
TECH_12,0.25,500.0,4.8,2000000000000000.0,20000000000.0,630.1029995663981,4.8,4.6
TECH_13,0.35,200.0,4.3,1e+16,100000000000.00002,700.0,4.3,4.1
TECH_14,0.4,150.0,4.3,1e+16,100000000000.00002,700.0,4.3,4.1
TECH_15,0.35,300.0,4.7,1e+16,100000000000.00002,700.0,4.7,4.5
TECH_16,0.35,250.0,4.9,1e+16,100000000000.00002,700.0,4.9,4.7
TECH_17,0.35,250.0,4.7,1e+16,100000000000.00002,700.0,4.7,4.5
TECH_18,0.04,100000.0,5.2,1000000000000.0,100000000.0,300.0,5.2,5.0
TECH_19,0.06,50000.0,5.3,1000000000000.0,100000000.0,300.0,5.3,5.1
TECH_20,0.04,100000.0,5.0,1000000000000.0,100000000.0,300.0,5.0,4.8
TECH_21,0.3,500.0,5.0,1000000000000000.0,10000000000.0,600.0,5.0,4.8
TECH_22,0.35,400.0,4.8,1000000000000000.0,10000000000.0,600.0,4.8,4.6
TECH_23,0.5,200.0,4.6,1e+16,100000000000.00002,700.0,4.6,4.3999999999999995
TECH_24,0.5,100.0,4.8,1e+16,100000000000.00002,700.0,4.8,4.6
TECH_25,0.2,600.0,4.8,500000000000000.0,5000000000.0,569.8970004336019,4.8,4.6
TECH_26,0.13,2500.0,5.0,100000000000000.0,1000000000.0000001,500.0,5.0,4.8
TECH_27,0.06,50000.0,5.0,1000000000000.0,100000000.0,300.0,5.0,4.8
TECH_28,0.04,12000.0,4.65,5000000000.0,100000000.0,100.0,4.65,4.45
TECH_29,0.035,15000.0,4.7,4000000000.0,100000000.0,100.0,4.7,4.5
TECH_30,0.15,2000.0,5.1,50000000000000.0,500000000.00000006,469.8970004336019,5.1,4.8999999999999995
